TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Eng-I: Value Education,,,,,,2023-09-08,en,
task,OOP-I: Principles of OOP: Classes,,,,,,2023-09-08,en,
task,DSA-I: Algorithm Analysis: Running time calculations,,,,,,2023-09-08,en,
task,DD-I: Number Systems,,,,,,2023-09-09,en,
task,Math-I: Propositional Logic,,,,,,2023-09-09,en,
task,Eng-I: Need,,,,,,2023-09-09,en,
task,OOP-I: Objects,,,,,,2023-09-10,en,
task,DD-I: Arithmetic Operations,,,,,,2023-09-10,en,
task,DSA-I: Abstract Data Types (ADTs),,,,,,2023-09-11,en,
task,Eng-I: Basic Guidelines,,,,,,2023-09-11,en,
task,Math-I: Propositional equivalences,,,,,,2023-09-11,en,
task,OOP-I: Data hiding,,,,,,2023-09-12,en,
task,Eng-I: Content and Process,,,,,,2023-09-12,en,
task,Math-I: Predicates and quantifiers,,,,,,2023-09-12,en,
task,OOP-I: Data encapsulation,,,,,,2023-09-13,en,
task,DSA-I: List ADT: Array implementation of lists,,,,,,2023-09-13,en,
task,DSA Lab: 1. Represent polynomial expression as linked list and write functions for polynomial manipulation,,,,,,2023-09-14,en,
task,DD-I: Binary Codes,,,,,,2023-09-14,en,
task,Eng-I: Self-Exploration,,,,,,2023-09-14,en,
task,OOP-I: Inheritance,,,,,,2023-09-15,en,
task,Eng-I: meaning,,,,,,2023-09-15,en,
task,DD-I: Boolean Algebra and Logic Gates,,,,,,2023-09-16,en,
task,DSA-I: Linked lists,,,,,,2023-09-16,en,
task,Math-I: Nested quantifiers,,,,,,2023-09-16,en,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates.,,,,,,2023-09-17,en,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation),,,,,,2023-09-17,en,
task,Eng-I: importance and process,,,,,,2023-09-17,en,
task,OOP-I: Poly- morphism,,,,,,2023-09-18,en,
task,DD-I: Theorems and Properties of Boolean Algebra,,,,,,2023-09-18,en,
task,Math-I: Rules of inference,,,,,,2023-09-19,en,
task,Eng-I: Continuous Happiness and Prosperity,,,,,,2023-09-19,en,
task,DSA-I: Circular linked lists,,,,,,2023-09-19,en,
task,Eng-I: A look at basic Human Aspirations,,,,,,2023-09-20,en,
task,OOP-I: Methods,,,,,,2023-09-20,en,
task,OOP-I: Definition of Classes: Objects,,,,,,2023-09-20,en,
task,DD-I: Boolean Functions,,,,,,2023-09-21,en,
task,DSA-I: Doubly linked lists,,,,,,2023-09-21,en,
task,Math-I: Introduction to proofs,,,,,,2023-09-22,en,
task,"DSA Lab: 2. Implement doubly linked list ADT (e.g Insert, delete, search, merge, reverse operations)",,,,,,2023-09-22,en,
task,Eng-I: Right understanding,,,,,,2023-09-22,en,
task,DD-I: Canonical and Standard Forms,,,,,,2023-09-23,en,
task,OOP-I: Access specifiers,,,,,,2023-09-23,en,
task,OOP-I: Static and final classes and members,,,,,,2023-09-24,en,
task,Eng-I: Relationship and Physical Facilities,,,,,,2023-09-24,en,
task,Math-I: Proof methods and strategy,,,,,,2023-09-24,en,
task,DSA-I: Applications of Lists: Polynomial manipulation. ,,,,,,2023-09-25,en,
task,Eng-I: The basic requirements,,,,,,2023-09-25,en,
task,DD-I: Simplification of Boolean Functions using Karnaugh Map,,,,,,2023-09-25,en,
task,"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters.",,,,,,2023-09-26,en,
task,OOP-I: Object Construction and Destruction,,,,,,2023-09-26,en,
task,Math-I: Normal forms,,,,,,2023-09-27,en,
task,DSA-II: Stack ADT: Stack model,,,,,,2023-09-27,en,
task,Eng-I: Understanding Happiness and Prosperity,,,,,,2023-09-27,en,
task,DD-I: Logic Gates,,,,,,2023-09-28,en,
task,OOP-I: Fundamental programming structures in Java,,,,,,2023-09-28,en,
task,Eng-I: A critical appraisal of the current scenario,,,,,,2023-09-28,en,
task,OOP Lab: 2. Develop an application using Inheritance (Eg: Payroll application),,,,,,2023-09-29,en,
task,Math-I: Applications to switching circuits. ,,,,,,2023-09-29,en,
task,DSA-II: Implementation of stacks,,,,,,2023-09-30,en,
task,DD-I: NAND and NOR Implementations. ,,,,,,2023-09-30,en,
task,OOP-I: Streams: Input,,,,,,2023-09-30,en,
task,Eng-I: Method to fulfil the above human aspirations,,,,,,2023-10-01,en,
task,"DSA Lab: 3. Implementation of Stack ADT (e.g Balancing parenthesis, infix to postfix conversion, evaluation of
postfix expression)",,,,,,2023-10-01,en,
task,Math-II: Mathematical induction,,,,,,2023-10-02,en,
task,DD-II: Combinational Circuits,,,,,,2023-10-02,en,
task,DSA-II: Applications: Balancing symbols,,,,,,2023-10-02,en,
task,Eng-II: An understanding human being as a co-existence of the sentient ‘I’ and the material ‘Body’,,,,,,2023-10-03,en,
task,OOP-I: Output,,,,,,2023-10-03,en,
task,Eng-I: UNDERSTANDING and living in harmony at various levels. ,,,,,,2023-10-03,en,
task,DD-II: Analysis and Design Procedures,,,,,,2023-10-04,en,
task,OOP-I: String handling,,,,,,2023-10-04,en,
task,DSA-II: Infix to postfix conversion,,,,,,2023-10-05,en,
task,Eng-II: Understanding the needs of Self (‘I’) and ‘Body’,,,,,,2023-10-05,en,
task,Math-II: Strong induction,,,,,,2023-10-05,en,
task,DD Lab: 3. Design and implement half/full adder and subtractor.,,,,,,2023-10-06,en,
task,Eng-II: Sukh and Suvidha,,,,,,2023-10-06,en,
task,OOP-I: Examples in Java. ,,,,,,2023-10-06,en,
task,OOP-II: Inheritance: Definition,,,,,,2023-10-07,en,
task,DD-II: Binary Adder,,,,,,2023-10-07,en,
task,DSA-II: Evaluating postfix expressions,,,,,,2023-10-08,en,
task,Math-II: The pigeonhole principle,,,,,,2023-10-08,en,
task,Eng-II: Understanding the Body as an instrument of ‘I’ (I being the doer,,,,,,2023-10-08,en,
task,DD-II: Subtractor,,,,,,2023-10-09,en,
task,OOP-II: Types of inheritance: Single,,,,,,2023-10-09,en,
task,Math-II: Recurrence relations,,,,,,2023-10-10,en,
task,OOP Lab: 3. Write a program to experiment with Polymorphism (E.g. Area of different shapes),,,,,,2023-10-10,en,
task,DSA Lab: 4. Implementation of Queue ADT (e.g Simulating printer jobs),,,,,,2023-10-10,en,
task,Eng-II: seer and enjoyer),,,,,,2023-10-11,en,
task,DSA-II: Function calls,,,,,,2023-10-11,en,
task,OOP-II: Multilevel,,,,,,2023-10-11,en,
task,Eng-II: Understanding the characteristics and activities of ‘I’ and harmony in ‘I’,,,,,,2023-10-12,en,
task,DD-II: Decimal Adder,,,,,,2023-10-12,en,
task,Math-II: Partition of integers,,,,,,2023-10-13,en,
task,DSA-II: Queue ADT: Queue model,,,,,,2023-10-13,en,
task,OOP-II: Multiple,,,,,,2023-10-13,en,
task,Eng-II: Understanding the harmony of I with the Body: Sanyam and Swasthya,,,,,,2023-10-14,en,
task,DD-II: Binary Multiplier,,,,,,2023-10-14,en,
task,DSA-II: Array implementation of queues,,,,,,2023-10-14,en,
task,Math-II: Solving linear recurrence relations using generating functions,,,,,,2023-10-15,en,
task,OOP-II: Hierarchical,,,,,,2023-10-15,en,
task,DD-II: Magnitude Comparator,,,,,,2023-10-16,en,
task,Eng-II: correct appraisal of Physical needs,,,,,,2023-10-16,en,
task,Eng-II: the meaning of Prosperity in detail,,,,,,2023-10-16,en,
task,"DD Lab: 4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers",,,,,,2023-10-17,en,
task,OOP-II: Subclass constructors,,,,,,2023-10-17,en,
task,Math-II: Inclusion and Exclusion Principle and its applications. ,,,,,,2023-10-18,en,
task,DSA-II: Applications of queues. ,,,,,,2023-10-18,en,
task,Eng-II: Pro- grams to ensure Sanyam and Swasthya. ,,,,,,2023-10-18,en,
task,"DSA Lab: 5. Implement binary search tree and produce its pre-order, in-order, and post-order traversals",,,,,,2023-10-19,en,
task,DD-II: Decoders,,,,,,2023-10-19,en,
task,OOP-II: Interfaces in Java: Definition,,,,,,2023-10-19,en,
task,Eng-III: Understanding harmony in the family,,,,,,2023-10-20,en,
task,OOP-II: Implementation,,,,,,2023-10-20,en,
task,DSA-III: Preliminaries,,,,,,2023-10-21,en,
task,Eng-III: The basic unit of human interaction,,,,,,2023-10-21,en,
task,"OOP Lab: 4. Design a Java interface for ADTs. (E.g. Stack, Queue)",,,,,,2023-10-21,en,
task,Math-III: Graphs,,,,,,2023-10-22,en,
task,DD-II: Encoders,,,,,,2023-10-22,en,
